Days_Count,population,Area,Density,count
7,6,5.0,1.2,93
8,6,5.0,1.2,109
9,5,5.0,1.0,123
10,5,5.0,1.0,135
11,5,5.0,1.0,146
12,4,5.0,0.8,149
13,4,5.0,0.8,154
14,3,5.0,0.6,159
15,3,5.0,0.6,169
16,3,5.0,0.6,175
1,10,5.0,2.0,5
2,10,5.0,2.0,18
3,10,5.0,2.0,38
4,10,5.0,2.0,59
5,9,5.0,1.8,78
6,9,5.0,1.8,98
7,9,5.0,1.8,102
8,7,5.0,1.4,118
9,7,5.0,1.4,137
10,7,5.0,1.4,153
11,7,5.0,1.4,158
1,10,5.0,2.0,10
2,8,5.0,1.6,27
3,8,5.0,1.6,45
4,8,5.0,1.6,60
5,8,5.0,1.6,71
6,8,5.0,1.6,89
7,8,5.0,1.6,101
8,7,5.0,1.4,120
9,7,5.0,1.4,137
10,7,5.0,1.4,146
11,5,5.0,1.0,148
12,4,5.0,0.8,152
1,10,5.0,2.0,0
2,10,5.0,2.0,48
3,10,5.0,2.0,71
4,10,5.0,2.0,109
5,9,5.0,1.8,137
6,9,5.0,1.8,152
7,8,5.0,1.6,168
8,8,5.0,1.6,188
9,8,5.0,1.6,203
10,8,5.0,1.6,218
11,8,5.0,1.6,241
12,6,5.0,1.2,262
13,6,5.0,1.2,283
14,6,5.0,1.2,315
15,5,5.0,1.0,331
16,5,5.0,1.0,343
17,5,5.0,1.0,354
18,4,5.0,0.8,362
19,3,5.0,0.6,371
20,3,5.0,0.6,384
21,2,5.0,0.4,390
22,2,5.0,0.4,393
23,1,5.0,0.2,396
24,1,5.0,0.2,397
1,10,5.0,2.0,34
2,10,5.0,2.0,52
3,10,5.0,2.0,74
4,9,5.0,1.8,87
5,9,5.0,1.8,99
